School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,CompletionRate150,Admission Rate (%),RetentionRate,SAT Average,x0_Private ForProfit,x0_Private NonProfit,x0_Public
East Carolina University,80.67999999999999,102732.0,21766.0,22301.0,65.21000000000001,87.92,83.46000000000001,1100.0,0.0,0.0,1.0
Columbia International University,93.88,58980.0,731.0,36979.0,68.27,50.67,68.94,1055.0,0.0,1.0,0.0
Sonoma State University,51.38,125616.0,7231.0,26537.0,60.09,89.12,79.49000000000001,1050.0,0.0,0.0,1.0
Misericordia University,100.0,91632.0,1837.0,48844.0,73.97,83.28999999999999,83.66,1119.7866788683762,0.0,1.0,0.0
University of Hawaii-West Oahu,53.33,120492.0,2755.0,19914.0,38.66,95.23,74.48,1012.0,0.0,0.0,1.0
Ottawa University-Ottawa,100.0,75900.0,719.0,47369.0,36.69,70.3,59.89,1012.0,0.0,1.0,0.0
Bushnell University,94.29,67920.0,514.0,43464.0,51.28,68.19,67.25999999999999,1089.0,0.0,1.0,0.0
Presbyterian College,100.0,98100.0,988.0,53720.0,63.63999999999999,70.83,72.22,1123.0,0.0,1.0,0.0
DePauw University,84.64,110400.0,1731.0,66946.0,87.33,68.49,88.64999999999999,1235.0,0.0,1.0,0.0
Franciscan Missionaries of Our Lady University,100.0,89988.0,944.0,26751.0,38.2,46.650000000000006,79.66,1120.0,0.0,1.0,0.0
Berklee College of Music,38.99,121404.0,5951.0,66342.0,65.13,51.6,74.92,1239.6204724466802,0.0,1.0,0.0
Xavier University,51.18000000000001,104772.0,5250.0,58260.0,68.74,81.22,84.91,1198.0,0.0,1.0,0.0
Florida Institute of Technology,92.4,115668.0,3188.0,59433.0,60.31,70.37,82.0,1241.0,0.0,1.0,0.0
Baylor University,72.48,126432.0,14329.0,65222.0,79.34,68.47,90.64,1281.4166751816117,0.0,1.0,0.0
The Art Institute of Virginia Beach,30.743643475136025,57504.0,215.0,30201.0,50.0,57.89555948686361,66.67,1032.170870045455,1.0,0.0,0.0
Rensselaer Polytechnic Institute,88.2,157344.0,6265.0,73816.0,86.92,57.26,90.93,1410.0,0.0,1.0,0.0
University of Portland,57.96,103224.0,3536.0,64049.0,84.07,77.22,85.81,1233.0,0.0,1.0,0.0
University of Connecticut-Stamford,70.83,189324.0,2255.0,25497.0,64.55,91.4,81.76,1073.0,0.0,0.0,1.0
National American University-Ellsworth AFB Extension,70.76949025793513,72262.68838834825,58.0,14796.0,0.0,50.96859576267638,38.04495042392061,1003.503198450219,1.0,0.0,0.0
Provo College,27.27,77184.0,579.0,23253.0,52.81,77.86785966856986,78.79,1043.5717212522695,1.0,0.0,0.0
Westmont College,63.68000000000001,115668.0,1226.0,64240.0,72.0,70.16,74.57000000000001,1259.0,0.0,1.0,0.0
Georgia State University,79.60000000000001,113040.0,28085.0,27206.0,53.13,82.39,80.66,1147.0,0.0,0.0,1.0
Rosalind Franklin University of Medicine and Science,65.27,130944.0,2234.340475134399,33827.69647744427,44.930214196566425,60.27656114238954,57.969683403344916,1211.5832987045071,0.0,1.0,0.0
Lakeland University,19.72,81396.0,1594.0,43694.0,46.01,92.47,61.46,1093.0002935394036,0.0,1.0,0.0
South University-Columbia,23.58,84024.0,518.0,28397.0,6.25,80.08525869970643,85.71,1051.4522024649254,1.0,0.0,0.0
University of Wisconsin-Madison,84.7,160356.0,31651.0,26393.0,88.35,57.25,95.2,1364.0,0.0,0.0,1.0
Taylor University,70.21,83676.0,1755.0,48656.0,78.06,70.1,88.71,1096.636218448581,0.0,1.0,0.0
Texas Wesleyan University,34.14,97164.0,1403.0,47135.0,33.660000000000004,46.79,63.72,1081.0,0.0,1.0,0.0
Plymouth State University,52.56999999999999,105864.0,3693.0,28222.0,58.13,89.37,69.93,1109.901004853878,0.0,0.0,1.0
