School Name,Mean Earnings (10 Yrs after Entry)
Lynn University,46500.0
Duke University,114500.0
Neumont College of Computer Science,75100.0
The Art Institute of San Antonio,39100.0
University of Maryland-Baltimore County,59600.0
Vanderbilt University,86200.0
College of Staten Island CUNY,47500.0
Fairmont State University,38400.0
Nossi College of Art,29700.0
Boricua College,35000.0
The New England Conservatory of Music,41200.0
Thomas Aquinas College,45900.0
Earlham College,39200.0
Miami International University of Art & Design-Art Institute Dallas,40200.0
McMurry University,46400.0
Clear Creek Baptist Bible College,31000.0
Cornish College of the Arts,33600.0
Whitworth University-Adult Degree Programs,48000.0
North Carolina Central University,35300.0
Hartwick College,49500.0
Farmingdale State College,55800.0
Andrews University,47800.0
Washington College,56500.0
Bentley University,95400.0
University of Wisconsin-Parkside,42600.0
Brown University,89100.0
California Baptist University,47500.0
University of Wyoming,54200.0
Virginia State University,38400.0
Chamberlain University-Florida,60400.0
Truman State University,50500.0
Nevada State College,
Seton Hall University,63700.0
University of Dayton,61400.0
University of Minnesota-Crookston,49100.0
American InterContinental University-Atlanta,45200.0
Carson-Newman University,41300.0
Touro College,41400.0
Wisconsin Lutheran College,45300.0
Utah Valley University,50700.0
Georgia Southwestern State University,40100.0
Lyon College,44800.0
Baldwin Wallace University,49200.0
Illinois Institute of Technology,78000.0
California State University-Monterey Bay,47000.0
MGH Institute of Health Professions,
Prairie View A & M University,40700.0
Universidad Ana G. Mendez-Gurabo Campus,24000.0
MCPHS University,106500.0
Western New England University,61300.0
Hastings College,47500.0
Southern Methodist University,77900.0
Eagle Gate College-Murray,31600.0
Caribbean University-Ponce,21400.0
Troy University,41100.0
Sentara College of Health Sciences,53900.0
York College of Pennsylvania,52200.0
Elmhurst University,51600.0
University of California-Riverside,55300.0
Oregon State University-Cascades Campus,56700.0
Carthage College,50100.0
West Virginia University,52700.0
Mount Mercy University,48400.0
Concordia University-Irvine,50800.0
Springfield College-Regional Online and Continuing Education,48500.0
Ball State University,44600.0
Milwaukee Institute of Art & Design,37500.0
Herzing University-Atlanta,41600.0
Faulkner University,40700.0
Wabash College,64000.0
Drew University,58500.0
University of Southern Maine,44400.0
Salisbury University,54200.0
Washington and Lee University,93300.0
Saint Louis University,64900.0
University of Colorado Denver/Anschutz Medical Campus,71200.0
Colby-Sawyer College,47700.0
Mitchell College,34000.0
University of Denver,65400.0
Methodist College,
Woodbury University,52100.0
Mars Hill University,33800.0
Morgan State University,42600.0
Lehigh University,94100.0
Emory University,84400.0
Missouri University of Science and Technology,72400.0
University of Guam,33300.0
Strayer University-Alabama,53500.0
Syracuse University,69200.0
Shenandoah University,52300.0
Middlebury Institute of International Studies at Monterey,71900.0
Johnson & Wales University-Providence,42200.0
Saint Norbert College,51300.0
Mississippi Valley State University,27200.0
Metropolitan State University,51700.0
Central Penn College,37700.0
Graceland University-Lamoni,40200.0
LIM College,48900.0
Columbia College Hollywood,39500.0
Marywood University,43200.0
Chamberlain University-Indiana,60400.0
