School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
Northern Arizona University,AZ,Public,67.83,107172.0,24880.0,27969.0,56.87,81.64,76.25999999999999,True,,,,,66.8,7570.0,0.0824356913183279,0.0586012861736334,0.1113745980707395,0.0822347266881028,36900.0,44600.0
Prescott College,AZ,Private NonProfit,25.790000000000003,65076.0,413.0,43649.0,48.78,98.42,58.81999999999999,True,1141.0,610.0,680.0,580.0,52.8,6250.0,0.3414043583535109,0.0944309927360774,0.2518159806295399,0.1138014527845036,28500.0,34300.0
Arizona Christian University,AZ,Private NonProfit,28.09,61224.0,883.0,44585.0,43.79,71.47,46.58,False,1031.0,550.0,570.0,,60.3,6340.0,0.07361268403171,0.0554926387315968,0.0815402038505096,0.0804077010192525,32600.0,34900.0
University of Arkansas at Little Rock,AR,Public,100.0,117864.0,5620.0,20416.0,41.69,56.04,73.09,True,1098.0,580.0,610.0,510.0,59.8,6590.000000000001,0.2951957295373665,0.0576512455516014,0.2750889679715302,0.0679715302491103,34600.0,39500.0
University of Arkansas for Medical Sciences,AR,Public,88.24,121728.0,838.0,,,,,True,,,,,89.4,8860.0,0.3902147971360382,0.1443914081145584,0.2947494033412888,0.1563245823389021,68000.0,69000.0
Lyon College,AR,Private NonProfit,100.0,78576.0,665.0,41396.0,42.52,50.14999999999999,68.78999999999999,False,1198.0,585.0,580.0,560.0,62.3,7359.999999999999,0.1097744360902255,0.0902255639097744,0.1654135338345864,0.1007518796992481,31400.0,44800.0
University of Arkansas,AR,Public,88.25,119412.0,22624.0,23997.0,68.5,77.66999999999999,84.71,True,1236.0,640.0,640.0,,70.19999999999999,7670.0,0.0525106082036775,0.0516265912305516,0.0695279349363507,0.0800919377652051,40900.0,52700.0
University of Arkansas at Pine Bluff,AR,Public,80.62,70620.0,2440.0,19541.0,38.92,59.66,74.17,True,900.0,500.0,500.0,485.0,38.0,5350.0,0.3274590163934426,0.0340163934426229,0.3254098360655738,0.040983606557377,23900.0,30600.0
Arkansas State University,AR,Public,100.0,86880.0,7739.0,23009.0,53.010000000000005,67.19000000000001,79.05,True,1149.0,630.0,590.0,480.0,53.400000000000006,6300.0,0.2931903346685618,0.0569841064737046,0.314252487401473,0.068484300297196,30900.0,36600.0
Arkansas Tech University,AR,Public,99.46,81948.0,7384.0,19361.0,44.22,97.66,67.21000000000001,True,,,,,55.8,6520.0,0.1607529794149512,0.0453683640303358,0.2378114842903575,0.0628385698808234,31600.0,38600.0
University of Central Arkansas,AR,Public,78.22,85992.0,8237.0,23185.0,45.73,93.78,78.84,True,1166.0,570.0,580.0,550.0,57.99999999999999,6989.999999999999,0.1655942697584072,0.0837683622678159,0.1528469102828699,0.073327667840233,32600.0,42500.0
Central Baptist College,AR,Private NonProfit,26.47,66120.0,554.0,26390.0,38.46,49.81,56.73,False,1041.0,535.0,565.0,450.0,59.3,6610.000000000001,0.1534296028880866,0.0722021660649819,0.2888086642599278,0.1407942238267148,34200.0,43000.0
Crowley's Ridge College,AR,Private NonProfit,44.74,49584.0,172.0,23348.0,38.71,,74.07000000000001,False,,,,,37.2,5830.0,0.2790697674418604,,0.2674418604651162,,24200.0,29600.0
Harding University,AR,Private NonProfit,74.16,89904.0,3492.0,31647.0,71.52,55.06999999999999,86.82,True,1207.0,640.0,650.0,,64.4,7259.999999999999,0.0893470790378006,0.1537800687285223,0.0893470790378006,0.1517754868270332,35600.0,47000.0
Henderson State University,AR,Public,99.52,80448.0,2603.0,23005.0,34.11,74.9,60.89,True,1098.0,580.0,590.0,,51.4,7009.999999999999,0.2393392239723396,0.0630042258932001,0.2750672301190933,0.0872070687668075,29300.0,40400.0
Hendrix College,AR,Private NonProfit,100.0,89820.0,1065.0,64046.0,65.5,70.54,82.04,True,,,,,57.9,7940.000000000001,0.0647887323943662,0.1370892018779342,0.0507042253521126,0.107981220657277,35100.0,44500.0
