School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),RetentionRate_4yr,Female_Majority,SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Percent of Students Earning >$25K (6 Yrs after Entry),Percent of Students Earning >$25K (10 Yrs after Entry),LowIncRatio_10yr,HighIncRatio_10yr,LowIncRatio_6yr,HighIncRatio_6yr,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry)
Harding University,AR,Private NonProfit,74.16,89904.0,3492.0,31647.0,71.52,55.06999999999999,86.82,True,1207.0,640.0,650.0,,64.4,725999.9999999999,0.08934707903780069,0.15378006872852235,0.08934707903780069,0.1517754868270332,35600.0,47000.0
Henderson State University,AR,Public,99.52,80448.0,2603.0,23005.0,34.11,74.9,60.89,True,1098.0,580.0,590.0,,51.4,700999.9999999999,0.23933922397233962,0.06300422589320015,0.27506723011909334,0.08720706876680753,29300.0,40400.0
Hendrix College,AR,Private NonProfit,100.0,89820.0,1065.0,64046.0,65.5,70.54,82.04,True,,,,,57.9,794000.0000000001,0.0647887323943662,0.13708920187793427,0.05070422535211268,0.107981220657277,35100.0,44500.0
John Brown University,AR,Private NonProfit,98.2,83244.0,1437.0,40774.0,64.47,58.86,86.16,True,1227.0,630.0,680.0,650.0,72.89999999999999,807000.0,0.1475295755045233,0.1336116910229645,0.1524008350730689,0.13569937369519833,45300.0,55400.0
Ouachita Baptist University,AR,Private NonProfit,94.96,78120.0,1520.0,40200.0,60.48,61.77,81.41000000000001,True,1203.0,600.0,630.0,,58.8,723999.9999999999,0.07697368421052632,0.09539473684210527,0.08026315789473684,0.09868421052631579,34600.0,46000.0
University of the Ozarks,AR,Private NonProfit,81.36,80160.0,831.0,34832.0,47.370000000000005,55.900000000000006,69.38,False,1070.0,620.0,610.0,520.0,50.9,781000.0000000001,0.0842358604091456,0.05535499398315283,0.11672683513838748,0.06618531889290012,28700.0,38600.0
Philander Smith College,AR,Private NonProfit,100.0,71652.0,796.0,26178.0,33.64,,58.4,True,,,,,40.8,468000.0,0.15201005025125627,,0.2600502512562814,0.02763819095477387,23600.0,27300.0
Williams Baptist University,AR,Private NonProfit,100.0,65124.0,580.0,30063.0,37.8,69.3,52.53,True,1088.0,640.0,690.0,,54.8,676000.0000000001,0.16034482758620688,0.06551724137931035,0.19310344827586207,0.06896551724137931,29300.0,36400.0
Southern Arkansas University Main Campus,AR,Public,68.07,82668.0,3121.0,23044.0,42.61,68.53,71.50999999999999,True,1120.0,,,,56.99999999999999,685000.0,0.1525152194809356,0.039090035245113744,0.19224607497596924,0.047741108619032364,30400.0,39000.0
University of Arkansas-Fort Smith,AR,Public,69.46,84780.0,4615.0,17288.0,31.08,,73.50999999999999,True,,,,,55.60000000000001,628000.0,0.24788732394366197,0.04507042253521127,0.3378114842903575,0.05243770314192849,30700.0,35000.0
Academy of Art University,CA,Private ForProfit,25.16,87936.0,6024.0,43976.0,46.88,,70.39,True,,,,,52.0,666000.0000000001,0.2400398406374502,0.12732403718459495,0.325531208499336,0.10690571049136786,32800.0,47300.0
Art Center College of Design,CA,Private NonProfit,26.61,96108.0,1907.0,66046.0,71.43,76.09,77.99000000000001,True,,,,,65.2,693000.0,0.15207131620346093,0.06397482957524908,0.13686418458311483,0.054535920293654956,48800.0,62300.0
Azusa Pacific University,CA,Private NonProfit,42.77,109584.0,4498.0,56802.0,66.22,93.6,76.16000000000001,True,,,,,69.5,790000.0,0.09937750111160516,0.1707425522454424,0.14895509115162295,0.19497554468652734,48300.0,55900.0
Bethesda University,CA,Private NonProfit,12.5,26652.0,285.0,22453.0,24.0,,48.28,False,,,,,,,,,0.17894736842105263,,,
Biola University,CA,Private NonProfit,100.0,88728.0,3683.0,58012.0,71.39999999999999,64.38000000000001,78.16,True,1196.0,640.0,650.0,610.0,64.3,734000.0000000001,0.08525658430627206,0.14689112136844965,0.08417051316861254,0.14200380124898182,38700.0,50700.0
California Institute of Integral Studies,CA,Private NonProfit,27.36,103260.0,98.0,,,,,True,,,,,,,,,,,38300.0,
California Baptist University,CA,Private NonProfit,42.09,121464.0,8093.0,48731.0,61.95,80.17999999999999,76.46,True,1064.0,570.0,580.0,530.0,63.2,703999.9999999999,0.04707772148770543,0.06301742246385765,0.0873594464351909,0.07623872482392191,40000.0,47500.0
California College of the Arts,CA,Private NonProfit,20.57,118872.0,1225.0,68956.0,67.03,85.45,70.56,True,,,,,56.00000000000001,634000.0,0.1493877551020408,0.0963265306122449,0.13714285714285715,0.09714285714285714,36200.0,48000.0
California Institute of Technology,CA,Private NonProfit,93.78,242736.0,901.0,74763.0,91.56,6.69,93.62,False,1566.0,800.0,780.0,800.0,80.5,847000.0,0.03773584905660377,0.025527192008879023,,0.018867924528301886,68500.0,106300.0
California Lutheran University,CA,Private NonProfit,100.0,124572.0,2800.0,60668.0,70.86,74.39,78.83,True,1159.0,620.0,620.0,600.0,68.10000000000001,818999.9999999999,0.05142857142857143,0.11964285714285715,0.09107142857142857,0.13357142857142856,43700.0,60200.0
California Polytechnic State University-San Luis Obispo,CA,Public,69.69999999999999,127764.0,21451.0,28927.0,83.09,38.43,94.24,False,1325.0,720.0,690.0,,79.10000000000001,849000.0,0.052025546594564355,0.07915714885086943,0.04400727238823365,0.07263064658990256,54700.0,74300.0
California State University-Bakersfield,CA,Public,52.26,113868.0,9955.0,18661.0,46.29,78.38000000000001,82.59,True,,,,,65.8,759000.0000000001,0.1329984932194877,0.026720241084881968,0.13581115017579107,0.029331993972877952,39100.0,50100.0
California State University-Stanislaus,CA,Public,51.95,115560.0,9855.0,17424.0,57.26,89.32,86.58,True,,,,,62.2,755999.9999999999,0.13160832064941655,0.03450025367833587,0.13800101471334347,0.039878234398782346,39300.0,48500.0
California State University-San Bernardino,CA,Public,50.66,119316.0,17037.0,19114.0,58.74,78.12,84.75,True,988.0,540.0,540.0,,61.2,755999.9999999999,0.14861771438633561,0.037976169513411984,0.14902858484474965,0.03762399483477138,37400.0,48800.0
California State Polytechnic University-Pomona,CA,Public,47.31,128124.0,27862.0,22365.0,67.4,64.81,87.03999999999999,False,1134.0,640.0,610.0,,70.39999999999999,818999.9999999999,0.10792477209102003,0.0326968631110473,0.09005096547268682,0.03818821333716173,42900.0,58000.0
California State University-Chico,CA,Public,55.50000000000001,116184.0,15689.0,25073.0,65.14999999999999,90.17,83.5,True,1073.0,580.0,590.0,,66.5,787000.0,0.12378099305245714,0.07349098094206132,0.11409267639747595,0.07024029574861368,42900.0,55400.0
California State University-Dominguez Hills,CA,Public,44.11,118032.0,16013.0,15019.0,47.510000000000005,81.2,78.03999999999999,True,,,,,62.4,760999.9999999999,0.12414912883282334,0.013863735714731781,0.15250109286204958,0.01898457503278586,38300.0,48500.0
California State University-Fresno,CA,Public,56.06,114540.0,22334.0,17683.0,57.54,90.11,86.79,True,996.0,540.0,560.0,,60.2,760000.0,0.1379958807199785,0.03398406017730814,0.1362048894062864,0.032819915823408256,37200.0,48500.0
California State University-Fullerton,CA,Public,50.470000000000006,123972.0,36874.0,17791.0,68.67999999999999,67.62,88.94,True,1085.0,590.0,590.0,,66.0,769000.0000000001,0.11783370396485328,0.034468731355426586,0.11780658458534468,0.045587676953951294,38500.0,51800.0
California State University-East Bay,CA,Public,44.28,124284.0,13041.0,23357.0,46.75,73.28,78.02,True,,,,,71.1,807000.0,0.14776474196764053,0.031976075454336325,0.1647879763821793,0.04278812974465148,45200.0,58200.0
California State University-Long Beach,CA,Public,47.08,123252.0,34188.0,19846.0,73.33,42.120000000000005,88.89,True,1133.0,620.0,620.0,,65.7,787000.0,0.12021762021762021,0.03858078858078858,0.11957411957411958,0.04568854568854569,40000.0,53000.0
California State University-Los Angeles,CA,Public,44.87,122376.0,22820.0,15307.0,52.400000000000006,76.48,82.53,True,964.0,530.0,530.0,,63.2,759000.0000000001,0.16520595968448729,0.014636283961437336,0.16717791411042945,0.01971954425942156,37200.0,49900.0
California State University-Northridge,CA,Public,46.63,123816.0,34881.0,19794.0,54.620000000000005,65.81,83.48,True,1006.0,550.0,560.0,,63.3,752000.0,0.1378687537627935,0.03213784008485995,0.16037384249304779,0.038559674321263726,37400.0,49700.0
California State University-Sacramento,CA,Public,48.120000000000005,117888.0,29228.0,21576.0,53.580000000000005,83.09,84.11999999999999,True,1033.0,560.0,570.0,,69.0,798000.0000000001,0.13610236759271932,0.039277405227863695,0.14564800875872452,0.043143560968933896,41800.0,54200.0
University of California-Berkeley,CA,Public,69.81,216324.0,30796.0,39016.0,92.34,17.48,96.14,True,1437.0,790.0,740.0,760.0,75.5,843000.0,0.08790102610728666,0.044356409923366674,0.07069099883101701,0.0369853227691908,57600.0,79000.0
University of California-Davis,CA,Public,84.5,185400.0,31142.0,35532.0,86.25,46.35,93.01,True,1299.0,730.0,670.0,650.0,70.39999999999999,857000.0,0.10442489242823197,0.05821719863849464,0.0831674266264209,0.0446021450131655,45300.0,68100.0
University of California-Irvine,CA,Public,82.78,197532.0,29627.0,34355.0,84.98,29.92,94.4,True,1339.0,750.0,680.0,620.0,71.1,829000.0,0.07810443176831944,0.057211327505316094,0.07314274141830088,0.041853714517163396,44300.0,65800.0
University of California-Los Angeles,CA,Public,72.23,231432.0,31636.0,35497.0,91.29,14.330000000000002,95.63,True,,,,730.0,73.4,845000.0,0.09201542546466052,0.04750916677203186,0.0718169174358326,0.042578075610064485,52000.0,73200.0
University of California-Riverside,CA,Public,87.08,171972.0,22609.0,30561.0,77.29,65.78,90.96,True,1200.0,650.0,630.0,630.0,63.8,804000.0000000001,0.08903533990888585,0.04905126277146269,0.0946525719846079,0.03852448140121191,36800.0,55300.0
University of California-San Diego,CA,Public,85.78,198156.0,31827.0,33240.0,87.12,36.61,94.16,True,1387.0,770.0,710.0,710.0,72.89999999999999,845000.0,0.08046627077638482,0.041160021365507275,0.07085179250322053,0.03176548213780752,48200.0,69600.0
University of California-Santa Barbara,CA,Public,88.03999999999999,202740.0,23166.0,36492.0,83.98,36.7,90.83,True,1369.0,750.0,710.0,630.0,69.8,813999.9999999999,0.07351290684624018,0.06565656565656566,0.06841923508590175,0.05318138651471985,42800.0,62400.0
University of California-Santa Cruz,CA,Public,75.08,182568.0,17207.0,35925.0,75.55,64.73,84.92,False,1284.0,690.0,670.0,630.0,60.7,753000.0,0.08188527924681815,0.07241239030627071,0.09606555471610391,0.06468297785784854,38400.0,53800.0
Sofia University,CA,Private ForProfit,26.19,69408.0,9.0,,,,,True,,,,,,,,,,,,
California Christian College,CA,Private NonProfit,,52656.0,13.0,15210.0,,100.0,0.0,False,,,,,,,,,,,,
Haven University,CA,Private NonProfit,,13800.0,19.0,,,,,True,,,,,,,,,,,,
California Institute of the Arts,CA,Private NonProfit,67.35,113436.0,762.0,74111.0,66.49000000000001,27.42,59.62,True,,,,,52.8,607000.0,0.12467191601049869,0.13123359580052493,0.1167979002624672,0.1115485564304462,34200.0,50600.0
California State University Maritime Academy,CA,Public,72.41,123948.0,907.0,28149.0,60.68,82.49,76.84,False,,,,,91.5,883000.0,0.0926130099228225,0.10915104740904079,0.15214994487320838,0.11245865490628446,76700.0,87800.0
Chapman University,CA,Private NonProfit,99.82,145296.0,7231.0,74336.0,80.01,58.26,85.11,True,1275.0,680.0,670.0,660.0,72.6,805000.0,0.13137878578343246,0.1294426773613608,0.044253906790208825,0.09915640990181164,46900.0,56600.0
Concordia University-Irvine,CA,Private NonProfit,100.0,86616.0,1703.0,53235.0,59.09,78.18,67.84,True,1128.0,600.0,610.0,545.0,63.8,748000.0,0.0739870816206694,0.12331180270111568,0.12566059894304168,0.14856136230182032,40800.0,50800.0
San Diego Christian College,CA,Private NonProfit,9.92,77232.0,449.0,47755.0,55.00000000000001,49.67,59.02,False,1016.0,548.0,550.0,510.0,50.5,661000.0000000001,0.1514476614699332,0.1514476614699332,0.34966592427616927,0.1714922048997773,31000.0,42500.0
Claremont McKenna College,CA,Private NonProfit,94.97,177828.0,1262.0,76475.0,92.28,13.34,87.03999999999999,True,1436.0,770.0,730.0,760.0,80.0,898000.0,0.03328050713153724,0.04595879556259905,,0.03803486529318542,68200.0,93200.0
University of Silicon Valley,CA,Private ForProfit,36.0,92868.0,510.0,32382.0,45.71,41.94,63.16,False,,,,,59.0,802000.0,0.0392156862745098,,0.14313725490196078,0.09411764705882353,37600.0,60400.0
Columbia College Hollywood,CA,Private NonProfit,15.53,74676.0,760.0,35331.0,58.24,,50.64999999999999,False,,,,,46.1,569999.9999999999,0.08289473684210526,0.05394736842105263,0.10526315789473684,0.06973684210526315,26900.0,39500.0
Design Institute of San Diego,CA,Private ForProfit,,80004.0,124.0,42928.0,33.33,100.0,71.43,True,,,,,57.4,629000.0,0.41935483870967744,,0.41935483870967744,,33700.0,42300.0
Dominican University of California,CA,Private NonProfit,33.33,109200.0,1374.0,67366.0,74.33,85.74000000000001,86.77,True,1162.0,630.0,620.0,550.0,72.3,780000.0,0.12081513828238719,0.12518195050946143,0.10698689956331878,0.15502183406113537,54200.0,63600.0
Fresno Pacific University,CA,Private NonProfit,58.52,90456.0,2711.0,43317.0,67.36,66.94,71.26,True,1019.0,550.0,560.0,525.0,61.8,734000.0000000001,0.1184064920693471,0.0649206934710439,0.1914422722242715,0.0800442641091848,38400.0,45600.0
Golden Gate University,CA,Private NonProfit,100.0,115932.0,586.0,,,,,False,,,,,83.5,873000.0,0.08532423208191127,0.04948805460750853,0.09385665529010238,,72900.0,82300.0
Harvey Mudd College,CA,Private NonProfit,89.29,172692.0,827.0,79539.0,92.71,17.96,91.52,False,1534.0,800.0,770.0,760.0,85.6,865000.0,0.02418379685610641,0.1003627569528416,0.02418379685610641,0.07496977025392987,87200.0,104200.0
Holy Names University,CA,Private NonProfit,21.86,106884.0,703.0,57486.0,38.64,89.12,66.25,True,,,,,66.0,782000.0,0.1251778093883357,0.10526315789473684,0.20483641536273114,0.12802275960170698,49000.0,57600.0
California State Polytechnic University-Humboldt,CA,Public,57.82000000000001,117864.0,5991.0,24991.0,49.49,85.14,73.13,True,1081.0,580.0,610.0,,48.8,659000.0000000001,0.19946586546486397,0.08078784843932565,0.19979969954932397,0.08746453012852612,30200.0,40100.0
Humphreys University-Stockton and Modesto Campuses,CA,Private NonProfit,12.839999999999998,72984.0,226.0,21249.0,56.67,,100.0,True,,,,,53.3,528000.0,0.7566371681415929,0.11504424778761062,1.5486725663716814,0.10619469026548672,29500.0,33200.0
American Jewish University,CA,Private NonProfit,100.0,120228.0,37.0,,33.33,,,True,,,,,,,,,,,,
Life Pacific University,CA,Private NonProfit,17.78,80136.0,487.0,29158.0,48.96,93.1,65.67,True,1015.0,535.0,550.0,520.0,51.4,585000.0,0.13552361396303902,0.08418891170431211,0.15195071868583163,0.08213552361396304,32800.0,34400.0
University of La Verne,CA,Private NonProfit,40.72,113556.0,4118.0,60759.0,66.07,76.25,78.36999999999999,True,1054.0,570.0,580.0,560.0,71.39999999999999,811000.0000000001,0.14570179698882954,0.07066537153958233,0.1954832442933463,0.10344827586206896,45800.0,52700.0
Laguna College of Art and Design,CA,Private NonProfit,21.21,111816.0,732.0,50805.0,67.16,82.92,76.87,True,,,,,52.6,604000.0,0.03551912568306011,0.05327868852459016,0.07650273224043716,0.06284153005464481,32200.0,41400.0
