School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Monthly Salary,Student Enrollment Size,RetentionRate_4yr,Attendance Cost,150% Completion Rate at 4 Yr (%),Admission Rate (%),SAT Average (Overall),SAT 75th Percentile Math,SAT 75th Percentile Reading,SAT 75th Percentile Writing,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Female_Majority,MeanEarningsGenderDiff10
California Lutheran University,CA,Private NonProfit,100.0,10381.0,2800.0,78.83,60668.0,70.86,74.39,1159.0,620.0,620.0,600.0,43700.0,60200.0,True,8800.0
California Polytechnic State University-San Luis Obispo,CA,Public,69.69999999999999,10647.0,21451.0,94.24,28927.0,83.09,38.43,1325.0,720.0,690.0,,54700.0,74300.0,False,25000.0
California State University-Bakersfield,CA,Public,52.26,9489.0,9955.0,82.59,18661.0,46.29,78.38000000000001,,,,,39100.0,50100.0,True,12700.0
California State University-Stanislaus,CA,Public,51.95,9630.0,9855.0,86.58,17424.0,57.26,89.32,,,,,39300.0,48500.0,True,7300.0
California State University-San Bernardino,CA,Public,50.66,9943.0,17037.0,84.75,19114.0,58.74,78.12,988.0,540.0,540.0,,37400.0,48800.0,True,11600.0
California State Polytechnic University-Pomona,CA,Public,47.31,10677.0,27862.0,87.03999999999999,22365.0,67.4,64.81,1134.0,640.0,610.0,,42900.0,58000.0,False,15300.0
California State University-Chico,CA,Public,55.50000000000001,9682.0,15689.0,83.5,25073.0,65.14999999999999,90.17,1073.0,580.0,590.0,,42900.0,55400.0,True,13400.0
California State University-Dominguez Hills,CA,Public,44.11,9836.0,16013.0,78.03999999999999,15019.0,47.510000000000005,81.2,,,,,38300.0,48500.0,True,5500.0
California State University-Fresno,CA,Public,56.06,9545.0,22334.0,86.79,17683.0,57.54,90.11,996.0,540.0,560.0,,37200.0,48500.0,True,11700.0
California State University-Fullerton,CA,Public,50.470000000000006,10331.0,36874.0,88.94,17791.0,68.67999999999999,67.62,1085.0,590.0,590.0,,38500.0,51800.0,True,10700.0
California State University-East Bay,CA,Public,44.28,10357.0,13041.0,78.02,23357.0,46.75,73.28,,,,,45200.0,58200.0,True,9600.0
California State University-Long Beach,CA,Public,47.08,10271.0,34188.0,88.89,19846.0,73.33,42.120000000000005,1133.0,620.0,620.0,,40000.0,53000.0,True,11500.0
California State University-Los Angeles,CA,Public,44.87,10198.0,22820.0,82.53,15307.0,52.400000000000006,76.48,964.0,530.0,530.0,,37200.0,49900.0,True,6500.0
California State University-Northridge,CA,Public,46.63,10318.0,34881.0,83.48,19794.0,54.620000000000005,65.81,1006.0,550.0,560.0,,37400.0,49700.0,True,7300.0
California State University-Sacramento,CA,Public,48.120000000000005,9824.0,29228.0,84.11999999999999,21576.0,53.580000000000005,83.09,1033.0,560.0,570.0,,41800.0,54200.0,True,12000.0
University of California-Berkeley,CA,Public,69.81,18027.0,30796.0,96.14,39016.0,92.34,17.48,1437.0,790.0,740.0,760.0,57600.0,79000.0,True,21500.0
University of California-Davis,CA,Public,84.5,15450.0,31142.0,93.01,35532.0,86.25,46.35,1299.0,730.0,670.0,650.0,45300.0,68100.0,True,10900.0
University of California-Irvine,CA,Public,82.78,16461.0,29627.0,94.4,34355.0,84.98,29.92,1339.0,750.0,680.0,620.0,44300.0,65800.0,True,11300.0
University of California-Los Angeles,CA,Public,72.23,19286.0,31636.0,95.63,35497.0,91.29,14.330000000000002,,,,730.0,52000.0,73200.0,True,11500.0
University of California-Riverside,CA,Public,87.08,14331.0,22609.0,90.96,30561.0,77.29,65.78,1200.0,650.0,630.0,630.0,36800.0,55300.0,True,12600.0
University of California-San Diego,CA,Public,85.78,16513.0,31827.0,94.16,33240.0,87.12,36.61,1387.0,770.0,710.0,710.0,48200.0,69600.0,True,12300.0
University of California-Santa Barbara,CA,Public,88.03999999999999,16895.0,23166.0,90.83,36492.0,83.98,36.7,1369.0,750.0,710.0,630.0,42800.0,62400.0,True,14300.0
University of California-Santa Cruz,CA,Public,75.08,15214.0,17207.0,84.92,35925.0,75.55,64.73,1284.0,690.0,670.0,630.0,38400.0,53800.0,False,10400.0
Sofia University,CA,Private ForProfit,26.19,5784.0,9.0,,,,,,,,,,,True,
California Christian College,CA,Private NonProfit,,4388.0,13.0,0.0,15210.0,,100.0,,,,,,,False,
Haven University,CA,Private NonProfit,,1150.0,19.0,,,,,,,,,,,True,
California Institute of the Arts,CA,Private NonProfit,67.35,9453.0,762.0,59.62,74111.0,66.49000000000001,27.42,,,,,34200.0,50600.0,True,15900.0
California State University Maritime Academy,CA,Public,72.41,10329.0,907.0,76.84,28149.0,60.68,82.49,,,,,76700.0,87800.0,False,
Chapman University,CA,Private NonProfit,99.82,12108.0,7231.0,85.11,74336.0,80.01,58.26,1275.0,680.0,670.0,660.0,46900.0,56600.0,True,12800.0
Concordia University-Irvine,CA,Private NonProfit,100.0,7218.0,1703.0,67.84,53235.0,59.09,78.18,1128.0,600.0,610.0,545.0,40800.0,50800.0,True,14300.0
San Diego Christian College,CA,Private NonProfit,9.92,6436.0,449.0,59.02,47755.0,55.00000000000001,49.67,1016.0,548.0,550.0,510.0,31000.0,42500.0,False,17500.0
Claremont McKenna College,CA,Private NonProfit,94.97,14819.0,1262.0,87.03999999999999,76475.0,92.28,13.34,1436.0,770.0,730.0,760.0,68200.0,93200.0,True,23900.0
University of Silicon Valley,CA,Private ForProfit,36.0,7739.0,510.0,63.16,32382.0,45.71,41.94,,,,,37600.0,60400.0,False,
Columbia College Hollywood,CA,Private NonProfit,15.53,6223.0,760.0,50.64999999999999,35331.0,58.24,,,,,,26900.0,39500.0,False,
Design Institute of San Diego,CA,Private ForProfit,,6667.0,124.0,71.43,42928.0,33.33,100.0,,,,,33700.0,42300.0,True,
Dominican University of California,CA,Private NonProfit,33.33,9100.0,1374.0,86.77,67366.0,74.33,85.74000000000001,1162.0,630.0,620.0,550.0,54200.0,63600.0,True,6600.0
Fresno Pacific University,CA,Private NonProfit,58.52,7538.0,2711.0,71.26,43317.0,67.36,66.94,1019.0,550.0,560.0,525.0,38400.0,45600.0,True,10900.0
Golden Gate University,CA,Private NonProfit,100.0,9661.0,586.0,,,,,,,,,72900.0,82300.0,False,21700.0
Harvey Mudd College,CA,Private NonProfit,89.29,14391.0,827.0,91.52,79539.0,92.71,17.96,1534.0,800.0,770.0,760.0,87200.0,104200.0,False,
Holy Names University,CA,Private NonProfit,21.86,8907.0,703.0,66.25,57486.0,38.64,89.12,,,,,49000.0,57600.0,True,-10200.0
California State Polytechnic University-Humboldt,CA,Public,57.82000000000001,9822.0,5991.0,73.13,24991.0,49.49,85.14,1081.0,580.0,610.0,,30200.0,40100.0,True,8700.0
Humphreys University-Stockton and Modesto Campuses,CA,Private NonProfit,12.839999999999998,6082.0,226.0,100.0,21249.0,56.67,,,,,,29500.0,33200.0,True,
American Jewish University,CA,Private NonProfit,100.0,10019.0,37.0,,,33.33,,,,,,,,True,
Life Pacific University,CA,Private NonProfit,17.78,6678.0,487.0,65.67,29158.0,48.96,93.1,1015.0,535.0,550.0,520.0,32800.0,34400.0,True,15600.0
University of La Verne,CA,Private NonProfit,40.72,9463.0,4118.0,78.36999999999999,60759.0,66.07,76.25,1054.0,570.0,580.0,560.0,45800.0,52700.0,True,15400.0
Laguna College of Art and Design,CA,Private NonProfit,21.21,9318.0,732.0,76.87,50805.0,67.16,82.92,,,,,32200.0,41400.0,True,
Southern California Seminary,CA,Private NonProfit,33.33,4934.0,50.0,,,0.0,,,,,,,,False,
La Sierra University,CA,Private NonProfit,43.87,8227.0,1462.0,79.05,45629.0,52.46,56.97,1048.0,580.0,590.0,510.0,43600.0,54600.0,True,9200.0
Loma Linda University,CA,Private NonProfit,93.9,8749.0,1013.0,,,,,,,,,71200.0,93600.0,True,46000.0
The Master's University and Seminary,CA,Private NonProfit,32.97,8045.0,1448.0,82.41000000000001,40783.0,63.92,59.88,,,,600.0,38600.0,52100.0,False,24900.0
Loyola Marymount University,CA,Private NonProfit,63.470000000000006,11796.0,6564.0,83.22,70235.0,82.62,50.13999999999999,1320.0,700.0,690.0,650.0,53000.0,71600.0,True,17300.0
