School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
New York University,99.44,185700.0,27276.0,73759.0,87.78,21.09,90.12,1458.0,0.0,0.0,1.0,0.0
Ave Maria University,87.5,92952.0,1048.0,37423.0,52.63,91.79,71.28999999999999,1164.0,0.0,0.0,1.0,0.0
Strayer University-Alabama,11.76,97848.0,1534.0,28284.0,50.0,70.98366335960863,0.0,1120.4263291857912,0.0,1.0,0.0,0.0
West Virginia University,79.23,129672.0,19669.0,22680.0,61.83,83.89,82.04,1152.0,0.0,0.0,0.0,1.0
Macalester College,82.78999999999999,131520.0,2049.0,71053.0,92.59,38.690000000000005,90.03999999999999,1390.0,0.0,0.0,1.0,0.0
Strayer University-North Carolina,11.64,86292.0,4683.0,22360.377138744545,0.0,75.24867716714863,33.33,1052.2268248040803,0.0,1.0,0.0,0.0
University of Phoenix-Arizona,3.97,90948.0,66294.0,18562.0,11.52,71.10854711433123,41.58,1138.8606882542451,0.0,1.0,0.0,0.0
Erskine College,100.0,62988.0,809.0,52411.0,51.870000000000005,60.0,74.77000000000001,1012.0,0.0,0.0,1.0,0.0
Wade College,32.14,49656.0,180.0,22459.0,40.91,67.19467939535551,100.0,1056.9448648134153,0.0,1.0,0.0,0.0
Saint Elizabeth University,28.29,89916.0,754.0,51068.0,51.06,75.38,76.33,1097.6851125358885,0.0,0.0,1.0,0.0
University of Maryland Eastern Shore,71.96000000000001,104472.0,2023.0,24348.0,40.61,62.03,72.83,927.0,0.0,0.0,0.0,1.0
Baker University,27.64,74316.0,1331.0,44473.0,62.05,93.41,78.69,1102.0,0.0,0.0,1.0,0.0
Alfred University,80.60000000000001,79296.0,1572.0,50643.0,60.74,64.11,67.03,1102.0,0.0,0.0,1.0,0.0
Occidental College,74.25,134748.0,1835.0,76600.0,83.64,40.9,81.85,1378.0,0.0,0.0,1.0,0.0
Columbus State University,64.52,91200.0,6482.0,19807.0,38.23,78.32000000000001,75.3,1007.0,0.0,0.0,0.0,1.0
Marian University,90.48,69444.0,1284.0,38372.0,48.39,67.67,71.21,1028.0,0.0,0.0,1.0,0.0
Kansas State University,89.97,115608.0,16063.0,24626.0,67.52,94.15,87.16000000000001,1110.7057255160817,0.0,0.0,0.0,1.0
Valley City State University,54.2,74124.0,1004.0,18712.0,44.91,80.60000000000001,72.0,1030.0,0.0,0.0,0.0,1.0
The University of Findlay,59.89,89208.0,2222.0,47032.0,62.68,79.59,79.0,1144.0,0.0,0.0,1.0,0.0
Notre Dame of Maryland University,52.85,83076.0,751.0,52667.0,48.6,62.29,65.12,1134.9136590989056,0.0,0.0,1.0,0.0
Polytechnic University of Puerto Rico-Orlando,38.18,61464.0,172.0,22583.0,100.0,71.41083191686096,62.5,955.1559642825011,0.0,0.0,1.0,0.0
Rutgers University-Newark,67.47999999999999,170208.0,8887.0,27960.0,65.05,74.09,86.7,1088.0,0.0,0.0,0.0,1.0
Huntingdon College,75.94999999999999,82632.0,917.0,37483.0,41.85,54.39000000000001,69.92,1101.0,0.0,0.0,1.0,0.0
