School Name,State,School Ownership,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,Female_Majority,SAT Average,Mean Earnings (6 Yrs after Entry),Mean Earnings (10 Yrs after Entry),Ivy League Plus
Mills College,CA,Private NonProfit,48.19,121320.0,603.0,48360.0,65.24,91.14,62.3,True,1180.0,40200.0,49500.0,0
Middlebury Institute of International Studies at Monterey,CA,Private NonProfit,81.91000000000001,117144.0,13.0,,,,,True,,47900.0,71900.0,0
Mount Saint Mary's University,CA,Private NonProfit,30.83,106788.0,2026.0,57689.0,58.96,89.33,75.0,True,1014.0,57700.0,63500.0,0
National University,CA,Private NonProfit,8.43,123480.0,7864.0,26208.0,46.67,89.36,45.45,True,,51900.0,59000.0,0
Newschool of Architecture and Design,CA,Private ForProfit,16.49,88476.0,359.0,50284.0,40.0,96.25,81.25,False,,39200.0,55100.0,0
Notre Dame de Namur University,CA,Private NonProfit,34.44,113280.0,211.0,,48.57,,,True,,49000.0,63900.0,0
Occidental College,CA,Private NonProfit,74.25,134748.0,1835.0,76600.0,83.64,40.9,81.85,True,1378.0,40700.0,59400.0,0
Otis College of Art and Design,CA,Private NonProfit,14.12,91572.0,1030.0,66695.0,73.11,80.32000000000001,62.77,True,,35100.0,52400.0,0
Hope International University,CA,Private NonProfit,16.02,64020.0,657.0,46231.0,48.81,38.29,85.32,True,1029.0,36600.0,40700.0,0
Pacific Oaks College,CA,Private NonProfit,9.84,74976.0,496.0,,,26.67,,True,,39500.0,43100.0,0
Pacific Union College,CA,Private NonProfit,93.51,76260.0,940.0,44714.0,51.24,59.17,70.27,True,1030.0,48600.0,61700.0,0
University of the Pacific,CA,Private NonProfit,52.53,130464.0,3493.0,64784.0,70.1,70.75,86.88,True,1221.0,61000.0,84200.0,0
Pepperdine University,CA,Private NonProfit,49.61,153888.0,3457.0,75312.0,88.55,41.85,84.67,True,1314.0,54100.0,77600.0,0
Pitzer College,CA,Private NonProfit,89.38000000000001,142668.0,922.0,75850.0,83.21,16.57,81.45,True,,37300.0,51500.0,0
Point Loma Nazarene University,CA,Private NonProfit,100.0,124284.0,3209.0,53045.0,72.06,83.55,84.45,True,1210.0,43600.0,54400.0,0
Pomona College,CA,Private NonProfit,94.15,164568.0,1462.0,74438.0,93.99,8.62,85.82,True,,51200.0,77300.0,0
University of Redlands,CA,Private NonProfit,97.03,122880.0,2810.0,68156.0,71.22,68.65,75.1,True,1135.0,48700.0,57700.0,0
Samuel Merritt University,CA,Private NonProfit,51.870000000000005,132912.0,692.0,,,,,True,,97200.0,111200.0,0
San Diego State University,CA,Public,51.790000000000006,134028.0,31293.0,23367.0,75.96000000000001,36.7,88.88000000000001,True,1207.0,41600.0,55900.0,0
University of San Diego,CA,Private NonProfit,50.53,150936.0,5454.0,70440.0,80.47999999999999,58.7,84.22,True,,54800.0,71100.0,0
San Francisco Art Institute,CA,Private NonProfit,78.95,94596.0,22.0,70023.0,39.24,94.67,0.0,True,,28400.0,38600.0,0
San Francisco Conservatory of Music,CA,Private NonProfit,100.0,172104.0,243.0,69135.0,69.23,45.62,79.25,False,,,30800.0,0
San Francisco State University,CA,Public,50.45,132444.0,23411.0,24513.0,55.21,84.09,82.28999999999999,True,1030.0,42100.0,54700.0,0
University of San Francisco,CA,Private NonProfit,41.83,143748.0,5810.0,69987.0,71.5,70.3,76.44999999999999,True,1248.0,58500.0,74000.0,0
William Jessup University,CA,Private NonProfit,26.340000000000003,88392.0,1279.0,50819.0,52.580000000000005,65.21000000000001,68.95,True,,38400.0,45100.0,0
San Jose State University,CA,Public,44.8,127740.0,27614.0,25747.0,65.58,67.36999999999999,86.19,False,1127.0,47200.0,63800.0,0
Santa Clara University,CA,Private NonProfit,68.17999999999999,153900.0,5606.0,74297.0,91.95,50.72,92.51,False,1367.0,63900.0,85300.0,0
Scripps College,CA,Private NonProfit,76.55999999999999,143256.0,930.0,77588.0,87.85,35.13,80.21000000000001,True,1406.0,44400.0,61800.0,0
Simpson University,CA,Private NonProfit,100.0,77304.0,696.0,46394.0,42.5,59.72,71.72,True,1099.0,35100.0,39900.0,0
Saint Mary's College of California,CA,Private NonProfit,24.49,130428.0,2461.0,69071.0,73.34,77.31,81.01,True,1174.0,48600.0,63600.0,0
Sonoma State University,CA,Public,51.38,125616.0,7231.0,26537.0,60.09,89.12,79.49000000000001,True,1050.0,41200.0,53200.0,0
Vanguard University of Southern California,CA,Private NonProfit,95.4,96876.0,1995.0,48086.0,62.62,49.99,74.64,True,1050.0,40700.0,48800.0,0
Southern California Institute of Architecture,CA,Private NonProfit,57.49999999999999,136452.0,249.0,70734.0,76.47,67.30000000000001,93.1,False,1180.0,45300.0,44200.0,0
University of Southern California,CA,Private NonProfit,61.83,183612.0,19521.0,77362.0,91.67,16.11,91.28,True,1441.0,61400.0,88800.0,0
Thomas Aquinas College,CA,Private NonProfit,98.57,110592.0,462.0,38164.0,84.27,85.53,93.16,False,1297.0,30300.0,45900.0,0
Epic Bible College & Graduate School,CA,Private NonProfit,37.93,25176.0,117.0,,20.0,,,True,,29300.0,32600.0,0
Walden University,MN,Private ForProfit,7.720000000000001,86316.0,7595.0,,,,33.33,True,,46100.0,62500.0,0
Westmont College,CA,Private NonProfit,63.68000000000001,115668.0,1226.0,64240.0,72.0,70.16,74.57000000000001,True,1259.0,38600.0,58000.0,0
Whittier College,CA,Private NonProfit,73.08,102888.0,1488.0,61052.0,63.4,72.33000000000001,72.82,True,,37500.0,50900.0,0
Woodbury University,CA,Private NonProfit,31.0,91176.0,1019.0,55032.0,60.28,70.39999999999999,72.28,True,,37300.0,52100.0,0
Adams State University,CO,Public,43.44,76176.0,1612.0,22317.0,32.14,99.88,59.29,False,1004.0,28800.0,38100.0,0
University of Colorado Denver/Anschutz Medical Campus,CO,Public,69.15,125652.0,11392.0,22702.0,44.440000000000005,66.3,72.84,True,1123.0,48700.0,71200.0,0
University of Colorado Colorado Springs,CO,Public,58.92,96732.0,9839.0,22169.0,44.97,89.61,70.77,True,,37300.0,49300.0,0
University of Colorado Boulder,CO,Public,74.31,135408.0,29779.0,31034.0,72.47,84.2,84.98,False,1268.0,42700.0,59700.0,0
Colorado Christian University,CO,Private NonProfit,17.169999999999998,80136.0,4804.0,46894.0,60.79,,82.37,True,,37600.0,44600.0,0
Colorado College,CO,Private NonProfit,86.05000000000001,136188.0,2023.0,74760.0,87.98,13.6,86.17,True,,35900.0,49900.0,0
Colorado School of Mines,CO,Public,71.64,148368.0,5173.0,36107.0,84.17,54.97,91.87,False,1372.0,74700.0,95600.0,0
Colorado State University-Fort Collins,CO,Public,72.43,125100.0,23332.0,27513.0,70.21,83.52000000000001,84.99,True,1199.0,39900.0,53400.0,0
Colorado Technical University-Colorado Springs,CO,Private ForProfit,,85224.0,24504.0,23174.0,23.08,,47.84,True,,34100.0,51300.0,0
University of Denver,CO,Private NonProfit,50.73,134664.0,5683.0,69469.0,75.46000000000001,60.67,84.14,True,1296.0,49000.0,65400.0,0
Fort Lewis College,CO,Public,98.44,87444.0,3205.0,23881.0,42.21,91.51,68.10000000000001,True,1037.0,30500.0,39400.0,0
Colorado Mesa University,CO,Public,57.93000000000001,84708.0,8146.0,22143.0,37.0,75.44,75.0,True,,34200.0,42300.0,0
Metropolitan State University of Denver,CO,Public,100.0,85068.0,17255.0,19975.0,32.029999999999994,83.33,61.01,True,973.0,36100.0,44200.0,0
Naropa University,CO,Private NonProfit,31.49,75972.0,318.0,51142.0,31.15,100.0,55.56,True,,19600.0,27800.0,0
Nazarene Bible College,CO,Private NonProfit,100.0,53748.0,351.0,,55.56,,,True,,32100.0,34400.0,0
University of Northern Colorado,CO,Public,60.33,92904.0,7531.0,23864.0,51.74999999999999,87.7,70.15,True,1099.0,35300.0,47100.0,0
