School Name,Mean Earnings (10 Yrs after Entry)
Milwaukee School of Engineering,71100.0
Centenary College of Louisiana,52500.0
Pacific Lutheran University,53500.0
University of Central Oklahoma,44900.0
The University of Tampa,55100.0
Washington University in St Louis,87900.0
Tennessee State University,39800.0
The University of Texas Health Science Center at San Antonio,111500.0
Palm Beach Atlantic University,48000.0
Johns Hopkins University,89300.0
Warner Pacific University Professional and Graduate Studies,45200.0
Marywood University,43200.0
Kettering College,60200.0
The Art Institute of Atlanta,36000.0
The University of Texas Permian Basin,52300.0
Farmingdale State College,55800.0
The Juilliard School,47300.0
Yeshivath Viznitz,19600.0
Rochester Institute of Technology,67800.0
Simpson University,39900.0
The University of Texas MD Anderson Cancer Center,90100.0
Stanford University,141300.0
Harvard University,139100.0
Brown University,89100.0
Carlow University,44200.0
Mercer University,58200.0
Bethel University,52600.0
Strayer University-Pennsylvania,53500.0
West Chester University of Pennsylvania,51200.0
San Jose State University,63800.0
Wayland Baptist University,47200.0
Heidelberg University,45700.0
Lenoir-Rhyne University,43600.0
University of Massachusetts-Dartmouth,51500.0
Piedmont University,43400.0
University of Mississippi,56600.0
DeVry University-Nevada,50300.0
Central Washington University,50100.0
University of the Southwest,41000.0
La Roche University,42800.0
Winston-Salem State University,37200.0
The New School,55200.0
Madonna University,44400.0
Martin Luther College,37400.0
SUNY at Albany,57600.0
Berry College,43900.0
Milwaukee Institute of Art & Design,37500.0
University of Nebraska-Lincoln,52700.0
Mount Holyoke College,53900.0
Regis College,56800.0
Maryland Institute College of Art,41200.0
Cleveland University-Kansas City,53600.0
Creighton University,70100.0
Franklin College,46300.0
Mississippi College,44900.0
Our Lady of the Lake University,42500.0
Drexel University,78000.0
Russell Sage College,47100.0
Loyola University New Orleans,52300.0
University of North Carolina at Asheville,38800.0
St Bonaventure University,52700.0
Union College,36400.0
Chaminade University of Honolulu,41000.0
Hofstra University,59900.0
Alabama State University,30600.0
Henderson State University,40400.0
University of Florida-Online,65700.0
West Coast University-Miami,67700.0
Methodist University,43700.0
Inter American University of Puerto Rico-Bayamon,23500.0
Jacksonville University,57100.0
Academy of Art University,47300.0
University of Michigan-Flint,44500.0
Texas Christian University,62600.0
CUNY Queens College,52900.0
North Dakota State University-Main Campus,55500.0
Wayne State University,52300.0
Kuyper College,35200.0
Texas Southern University,37600.0
Oglethorpe University,49400.0
Sonoma State University,53200.0
Chamberlain University-Ohio,60400.0
Ripon College,51300.0
University of Arkansas at Little Rock,39500.0
American University,67700.0
Central Penn College,37700.0
Dalton State College,34700.0
SUNY Maritime College,86200.0
