School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Arkansas Tech University,99.46,81948.0,7384.0,19361.0,44.22,97.66,67.21000000000001,1112.3422465091653,0.0,0.0,0.0,1.0
Saint Elizabeth University,28.29,89916.0,754.0,51068.0,51.06,75.38,76.33,1062.6892486090046,0.0,0.0,1.0,0.0
Franklin and Marshall College,86.94,123000.0,2242.0,75720.0,85.25,36.5,84.05,1382.9505498909375,0.0,0.0,1.0,0.0
Academy of Art University,25.16,87936.0,6024.0,43976.0,46.88,78.19639122476822,70.39,1094.5642094060424,0.0,1.0,0.0,0.0
Wesleyan College,100.0,73692.0,612.0,34952.0,50.94,59.81,73.68,1052.0,0.0,0.0,1.0,0.0
American University of Health Sciences,71.74000000000001,119100.0,323.0,35965.0,37.5,75.03922232239715,72.48775005917624,1044.3138591825086,0.0,1.0,0.0,0.0
SUNY College of Technology at Canton,64.74,81864.0,3033.0,23026.0,40.91,83.00999999999999,70.26,1029.0,0.0,0.0,0.0,1.0
Life Pacific University,17.78,80136.0,487.0,29158.0,48.96,93.1,65.67,1015.0,0.0,0.0,1.0,0.0
Chestnut Hill College,100.0,76884.0,1051.0,54599.0,51.61,71.14,70.0,995.0,0.0,0.0,1.0,0.0
Morehead State University,74.88,77460.0,5680.0,22059.0,43.120000000000005,76.7,75.84,1096.7236413386079,0.0,0.0,0.0,1.0
New Jersey City University,100.0,132924.0,5769.0,25328.0,35.74,96.33,77.49000000000001,1130.7268500365742,0.0,0.0,0.0,1.0
Goucher College,37.69,87996.0,1106.0,62979.0,66.08000000000001,79.41,69.82000000000001,1188.4645059065167,0.0,0.0,1.0,0.0
Emmanuel College,55.28999999999999,60996.0,779.0,31589.0,38.86,52.75,61.79,1005.0,0.0,0.0,1.0,0.0
Washington Adventist University,19.77,69744.0,703.0,33721.0,42.11,93.95,67.19000000000001,1084.9386818282035,0.0,0.0,1.0,0.0
Polytechnic University of Puerto Rico-Orlando,38.18,61464.0,172.0,22583.0,100.0,64.43394270495253,62.5,989.1250637430893,0.0,0.0,1.0,0.0
Tougaloo College,74.07000000000001,57060.0,654.0,22784.0,40.48,71.2,70.39999999999999,990.0,0.0,0.0,1.0,0.0
Merrimack College,50.35,103188.0,4058.0,59617.0,73.54,81.64,83.53,1152.4966288422731,0.0,0.0,1.0,0.0
Edgewood College,51.32,76344.0,1339.0,44826.0,65.05,91.2,78.39,1071.8463502497555,0.0,0.0,1.0,0.0
Antioch University-Santa Barbara,13.029476669228295,78180.0,66.0,24607.94888977087,25.34467188952403,64.69784710107761,43.0858635340544,1052.487761486327,0.0,0.0,1.0,0.0
The University of the Arts,30.45,78816.0,1377.0,65881.0,57.37,75.82,74.19,1128.257950614264,0.0,0.0,1.0,0.0
California State University-Dominguez Hills,44.11,118032.0,16013.0,15019.0,47.510000000000005,81.2,78.03999999999999,1110.2448496151105,0.0,0.0,0.0,1.0
West Virginia University Institute of Technology,71.77,91788.0,1168.0,17464.0,27.69,55.120000000000005,59.75,1034.0,0.0,0.0,0.0,1.0
Charleston Southern University,66.12,71832.0,2698.0,40177.0,44.34,53.790000000000006,70.24000000000001,1091.0,0.0,0.0,1.0,0.0
Cox College,63.44,87492.0,741.0,43247.12267981489,50.0,100.0,77.80929008591474,1076.718121510752,0.0,0.0,1.0,0.0
The University of Tennessee-Martin,67.17999999999999,90456.0,5151.0,21200.0,53.67,64.95,73.77,1170.0,0.0,0.0,0.0,1.0
Southwestern Adventist University,41.23,76104.0,719.0,31865.0,42.68,62.3,78.5,1025.0,0.0,0.0,1.0,0.0
Massachusetts College of Art and Design,99.17,120696.0,1697.0,29569.0,74.09,70.27,73.02,1075.9706118564338,0.0,0.0,0.0,1.0
University of Health Sciences and Pharmacy in St. Louis,82.35,114996.0,282.0,47005.0,80.83,78.22,83.33,1266.0,0.0,0.0,1.0,0.0
Rowan University,52.3,108648.0,15708.0,34987.0,68.07,78.01,84.11,1150.0,0.0,0.0,0.0,1.0
University of Oregon,69.32000000000001,139752.0,17972.0,27717.0,73.89,83.81,84.23,1207.0,0.0,0.0,0.0,1.0
Westminster College,63.28,81612.0,1094.0,49932.0,71.23,76.51,80.28999999999999,1122.8742529932963,0.0,0.0,1.0,0.0
University of Phoenix-Hawaii,63.150710696812205,118557.91917568153,107.0,18992.0,19.23,57.605848692440155,0.0,962.2514137354422,0.0,1.0,0.0,0.0
American Academy of Art College,90.91,57396.0,169.0,41648.0,57.97,56.544506240576524,74.36,1042.935163718512,0.0,0.0,1.0,0.0
Davis College,48.72968323986483,66672.0,43.0,26841.0,43.75,28.57,60.91050884037407,1081.160925672395,0.0,0.0,1.0,0.0
