School Name,Mean Earnings (6 Yrs after Entry)
Indiana University-Purdue University-Indianapolis,39900.0
Waldorf University,32900.0
Furman University,41400.0
Westminster College,44600.0
Clarke University,39700.0
University of the District of Columbia,32800.0
Trinity International University-Illinois,35400.0
Clarkson University,56400.0
Eastern Oregon University,36000.0
Bloomsburg University of Pennsylvania,38200.0
Hofstra University,42800.0
The University of Texas at Austin,52200.0
East Central University,33200.0
Centenary University,41700.0
Eastern Connecticut State University,36800.0
Inter American University of Puerto Rico-Barranquitas,19300.0
Manhattan School of Music,23700.0
University of Mobile,32700.0
Castleton University,33800.0
Art Academy of Cincinnati,25700.0
University of Saint Francis-Fort Wayne,36200.0
Tuskegee University,34500.0
Yeshiva Gedolah Imrei Yosef D'spinka,24100.0
Smith College,37400.0
Southern Illinois University-Carbondale,36700.0
Elmira College,36800.0
University of Louisiana at Lafayette,37200.0
Rockford University,38300.0
Aurora University,39200.0
The University of Findlay,44200.0
Millersville University of Pennsylvania,35600.0
United States Merchant Marine Academy,78600.0
Felician University,47800.0
Northwest Nazarene University,35000.0
Peirce College,40500.0
University of New Orleans,35200.0
Saint Francis University,48900.0
Colorado Mesa University,34200.0
University of California-Los Angeles,52000.0
Murray State University,33100.0
Lincoln Memorial University,34300.0
AI Miami International University of Art and Design,27900.0
North Central College,39300.0
Rockhurst University,44100.0
Saint Anthony College of Nursing,54700.0
University of Missouri-St Louis,38700.0
Seton Hill University,35900.0
Houghton College,33300.0
Chamberlain University-Illinois,69800.0
Louisiana State University-Alexandria,33000.0
MidAmerica Nazarene University,45700.0
Greensboro College,30100.0
California Institute of Integral Studies,38300.0
Missouri Valley College,29700.0
Boston College,64900.0
Wittenberg University,37800.0
University of Kentucky,43500.0
Sul Ross State University,34600.0
Nicholls State University,37200.0
San Diego Christian College,31000.0
Molloy College,55400.0
Kent State University at Kent,33500.0
Assumption University,47100.0
University of Sioux Falls,38800.0
Gettysburg College,47100.0
The University of Texas MD Anderson Cancer Center,64500.0
Fitchburg State University,37700.0
Augustana University,38800.0
Sterling College,18400.0
Marist College,48200.0
Luther Rice College & Seminary,41700.0
West Liberty University,30600.0
Middle Georgia State University,29400.0
University of Louisiana at Monroe,38100.0
The University of Montana,33900.0
American InterContinental University-Houston,33200.0
Texas College,24600.0
Stonehill College,50800.0
University of California-Santa Barbara,42800.0
Brescia University,30800.0
Kutztown University of Pennsylvania,34200.0
Averett University,40300.0
Louisiana Tech University,38800.0
Point Loma Nazarene University,43600.0
Truett McConnell University,25900.0
Illinois College,34300.0
Rivier University,44500.0
Yale University,67800.0
Strayer University-Maryland,38400.0
Reinhardt University,33500.0
University of Nevada-Reno,41600.0
Arkansas State University,30900.0
Montserrat College of Art,25000.0
Universidad Pentecostal Mizpa,21900.0
The University of Texas at El Paso,35300.0
Texas Tech University,46800.0
The University of Texas Permian Basin,44800.0
Northwestern College,36100.0
Willamette University,36600.0
CUNY York College,33600.0
Cleveland Institute of Art,32900.0
Governors State University,40300.0
Augsburg University,41500.0
Shawnee State University,28600.0
Miles College,23100.0
Adelphi University,49400.0
The University of Texas Health Science Center at San Antonio,67500.0
Maine College of Art & Design,24000.0
Arcadia University,36300.0
Allegheny College,37700.0
Carleton College,43400.0
Northwest University,39900.0
Saint Joseph's University,49600.0
Northland College,27500.0
California Institute of Technology,68500.0
California State University-Channel Islands,38100.0
Seattle Pacific University,40900.0
Wayne State College,33700.0
