School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,Completion Rate,Admission Rate (%),Retention Rate,SAT Average,Ivy League Plus,x0_Private ForProfit,x0_Private NonProfit,x0_Public
University of Maine at Fort Kent,39.74,80244.0,862.0,18521.0,39.06,99.83,67.74,1025.253499493469,0.0,0.0,0.0,1.0
Bay State College,16.16,102864.0,670.0,38507.0,18.35,34.14,69.23,1134.9206610669712,0.0,1.0,0.0,0.0
Nazareth College,41.83,97020.0,2138.0,51405.0,71.22,75.68,84.69,1158.9517195837375,0.0,0.0,1.0,0.0
SUNY College at Oswego,67.03,87096.0,6623.0,24970.0,64.83,68.89999999999999,81.34,1112.0,0.0,0.0,0.0,1.0
CUNY Brooklyn College,37.98,143076.0,14054.0,13802.0,54.49,49.74,82.19,1105.0,0.0,0.0,0.0,1.0
Westfield State University,49.89,120012.0,4343.0,24844.0,63.09,92.44,72.92,1054.0,0.0,0.0,0.0,1.0
Warner Pacific University,100.0,72324.0,461.0,32176.0,37.59,100.0,68.33,1019.498412829611,0.0,0.0,1.0,0.0
University of Scranton,70.24000000000001,124680.0,3592.0,62380.0,81.54,78.73,89.34,1200.0,0.0,0.0,1.0,0.0
Upper Iowa University,100.0,70488.0,2934.0,45237.0,27.06,65.3,74.02,1035.0,0.0,0.0,1.0,0.0
University of Washington-Tacoma Campus,78.29,126048.0,4552.0,21705.0,60.34,86.05000000000001,80.07,1068.0,0.0,0.0,0.0,1.0
Salve Regina University,94.35,104208.0,2141.0,61072.0,75.92,74.62,82.87,1202.0654914499428,0.0,0.0,1.0,0.0
Moravian University,100.0,93396.0,1951.0,59553.0,69.45,80.10000000000001,82.67,1164.7142609414836,0.0,0.0,1.0,0.0
CUNY Graduate School and University Center,37.22,158448.0,2658.0,53000.094703608396,60.3111927138496,26.29171222484773,62.54834438020515,1351.9286817184543,0.0,0.0,0.0,1.0
Kentucky Christian University,27.84,57300.0,514.0,34496.0,31.41,28.29,59.53000000000001,970.0,0.0,0.0,1.0,0.0
Anderson University,100.0,76404.0,1198.0,44342.0,64.03999999999999,66.5,71.21,1071.0,0.0,0.0,1.0,0.0
Ottawa University-Kansas City,100.0,42720.0,250.0,29864.549330644946,64.05422623855104,54.04063181668232,59.449501089942295,977.2417519210417,0.0,0.0,1.0,0.0
Cooper Union for the Advancement of Science and Art,27.500000000000004,150156.0,806.0,61775.0,79.44,17.51,84.85000000000001,1422.0,0.0,0.0,1.0,0.0
University of New Hampshire-Main Campus,75.9,135528.0,11663.0,33940.0,76.46,84.81,86.39,1197.0,0.0,0.0,0.0,1.0
Emporia State University,88.21,83808.0,3081.0,19526.0,46.31,86.08,77.63,1038.580000194859,0.0,0.0,0.0,1.0
Missouri State University-Springfield,69.86,92388.0,15343.0,21859.0,57.78,86.57000000000001,79.21000000000001,1183.0,0.0,0.0,0.0,1.0
Eagle Gate College-Layton,66.62753229601498,83100.0,200.0,22962.0,64.71000000000001,71.2838484889549,100.0,1043.3192917686097,0.0,1.0,0.0,0.0
Illinois College,77.23,85524.0,1150.0,44465.0,68.25,75.24,75.47,1115.9420018542085,0.0,0.0,1.0,0.0
Rush University,74.61,130680.0,104.0,33741.94392595785,90.80594644750713,52.93650433500115,56.13831134778497,1219.3640587807788,0.0,0.0,1.0,0.0
Southern Connecticut State University,47.620000000000005,115956.0,7239.0,25413.0,51.06,79.67999999999999,76.88000000000001,1053.910803895545,0.0,0.0,0.0,1.0
Clarion University of Pennsylvania,76.17,114228.0,3459.0,26294.0,52.790000000000006,94.23,77.23,1059.2870395869884,0.0,0.0,0.0,1.0
Chadron State College,100.0,89460.0,1651.0,22030.0,41.96,85.37137199239034,68.72,1041.4119799720709,0.0,0.0,0.0,1.0
Rosalind Franklin University of Medicine and Science,65.27,130944.0,101.7202841318736,33422.31757248335,90.90667712499084,53.00163196713413,55.88175314012297,1229.1737557981885,0.0,0.0,1.0,0.0
University of South Carolina-Columbia,72.43,131196.0,27053.0,28602.0,78.01,68.35,89.86,1268.0,0.0,0.0,0.0,1.0
University of West Georgia,80.97999999999999,88416.0,9444.0,23684.0,44.35,77.62,72.82,1012.0,0.0,0.0,0.0,1.0
Southern Illinois University-Edwardsville,72.35000000000001,104712.0,9892.0,24244.0,53.56,85.05,78.03999999999999,1154.0,0.0,0.0,0.0,1.0
